athlete,group,percentile_raw,total_runs,avg_pace
771514,low,0.0948275862068965,38,5.725830062087703
1776170,mid,0.4827586206896552,240,5.575104400636523
2013538,mid,0.1724137931034483,120,5.56026963375983
2081128,mid,0.5086206896551724,518,5.352208986697921
2138770,mid,0.4051724137931034,204,5.196052153690163
2913078,mid,0.6551724137931034,219,5.959219163208946
3460571,mid,0.4482758620689655,380,5.405442907971681
3539760,mid,0.3534482758620689,294,5.788807143098561
3573750,mid,0.896551724137931,667,5.700584349593496
5035018,mid,0.7370689655172413,491,5.570108463999139
5151970,mid,0.8448275862068966,370,5.373937436993782
5421161,mid,0.6982758620689655,386,4.77517236436274
5492554,mid,0.5948275862068966,101,6.106100976976156
5688059,mid,0.5862068965517241,421,5.979643765903307
5861500,mid,0.3189655172413793,339,5.656478466146139
6215611,mid,0.7758620689655172,470,5.1542246169012635
6367873,high,0.9224137931034484,651,4.992995145472909
6583234,mid,0.7241379310344828,23,5.825945494164354
7191483,low,0.0517241379310344,52,5.359388275252693
7947798,high,0.9310344827586208,428,4.709728677529288
8180382,mid,0.4741379310344827,189,4.692626165483279
8684584,mid,0.1120689655172413,88,5.778408927730142
10305317,mid,0.1810344827586207,157,6.4523626044304185
10446972,mid,0.7844827586206896,485,5.217688820460183
10825360,mid,0.6896551724137931,627,5.980909536580444
11088529,mid,0.6637931034482759,303,5.708165475944161
11284478,mid,0.4396551724137931,298,6.426994428309049
11348733,mid,0.5603448275862069,417,5.9516833477877
11910984,mid,0.3448275862068966,35,5.510752688172043
12021072,mid,0.5517241379310345,321,5.5477197931358715
12642956,mid,0.5258620689655172,201,5.945364393301524
12701438,mid,0.5,202,5.1638293498830645
12740383,mid,0.8706896551724138,214,6.076179881939174
12902518,mid,0.8620689655172413,173,5.217853861405291
13275838,mid,0.6810344827586207,145,5.44839934194846
13435425,high,1.0,26,4.250479336006176
13829937,mid,0.8103448275862069,179,5.847695665365004
13881863,mid,0.4224137931034483,175,5.3156824051064655
13892788,mid,0.2284482758620689,117,5.377985785283795
14019837,mid,0.1982758620689655,219,5.367210466268602
14474051,mid,0.7672413793103449,96,6.606924341184841
14588097,mid,0.8017241379310345,279,6.033361248492318
15002603,mid,0.1293103448275862,173,6.456491741836742
15355766,mid,0.2155172413793103,198,5.112866157496768
15515123,high,0.9051724137931034,313,5.52792016743001
15532293,low,0.0862068965517241,106,5.897323799836859
15655281,mid,0.5775862068965517,196,6.018511343635042
16021442,mid,0.6120689655172413,268,5.168414607800951
16378210,mid,0.6206896551724138,540,5.816859678072653
17199625,mid,0.1551724137931034,141,5.716325888161178
17639804,high,0.913793103448276,681,5.54426473217226
17666737,mid,0.4655172413793103,100,5.940521418739799
18042525,mid,0.1034482758620689,209,5.819720486355829
18223349,mid,0.8189655172413793,409,5.275750527976047
18736169,high,0.9482758620689656,487,5.552419957838271
18845906,mid,0.75,46,5.426771495605883
19023831,high,0.956896551724138,709,5.1732666184291745
19048091,mid,0.2413793103448276,188,5.66973249793349
19741163,mid,0.646551724137931,341,5.228956228956228
19905281,mid,0.853448275862069,84,5.648366882596423
20136629,mid,0.6379310344827587,275,6.261320969447967
20263706,low,0.0603448275862069,13,5.547686496694994
20557028,mid,0.2758620689655172,1,6.250536150168838
20653961,high,0.9396551724137931,571,5.318452652272191
21299972,mid,0.25,232,6.3817121479855246
22353493,mid,0.6724137931034483,205,4.673063888987978
22538702,high,0.9827586206896552,173,5.24188770900905
22559703,mid,0.2586206896551724,54,4.7502181665775876
22835898,mid,0.8879310344827587,482,5.970556199142978
22843389,mid,0.3620689655172414,277,6.0423752695148405
22866236,mid,0.5344827586206896,160,5.748645247719246
22891135,mid,0.5431034482758621,257,5.266638090586175
22972731,mid,0.3103448275862069,17,9.03765190138259
23729907,mid,0.6293103448275862,670,6.520229151270202
24944587,mid,0.3275862068965517,110,5.751454867732022
25039796,mid,0.1206896551724138,144,6.919751279803425
25191153,mid,0.8793103448275862,315,6.3406959337671465
25262730,mid,0.3706896551724138,86,5.993040709196128
25277048,mid,0.4568965517241379,1,6.2438057482656095
25372889,mid,0.7155172413793104,128,5.201654776013189
26367918,mid,0.4913793103448275,230,5.859051449167524
26534495,mid,0.7586206896551724,176,7.332880851460082
26583329,mid,0.7068965517241379,75,6.74770141810815
26677270,mid,0.396551724137931,182,5.8394657560540155
27279222,mid,0.7931034482758621,57,6.56025538707103
27479582,mid,0.293103448275862,31,5.891131135246666
27655563,high,0.9913793103448276,167,4.594809001283822
27679859,mid,0.3017241379310345,99,6.109989242644422
27950722,mid,0.1896551724137931,156,6.684567614503377
28252317,mid,0.146551724137931,5,7.350171162760225
29039974,mid,0.5689655172413793,99,5.806041912365054
31787106,high,0.9741379310344828,137,5.080489300883009
31889836,mid,0.603448275862069,134,5.055960914278133
31945236,low,0.0344827586206896,38,6.216004240377535
32507764,mid,0.2844827586206896,82,5.345740997409939
34460713,mid,0.4137931034482758,215,5.513105366787695
34669133,mid,0.8362068965517241,250,5.7651015939188515
35538376,mid,0.5172413793103449,58,5.5954483099586
36259004,mid,0.3793103448275862,141,5.6024685927045175
36288626,mid,0.4310344827586206,87,6.376928003126052
37124981,mid,0.1637931034482758,58,6.945200243874297
37580157,mid,0.2068965517241379,49,6.614867702645947
38870390,mid,0.2284482758620689,8,5.375548109336101
39076296,mid,0.3362068965517241,21,5.364589538901465
39963418,mid,0.2672413793103448,53,5.623099292620764
45799771,mid,0.8275862068965517,67,5.333485718639579
